Scenario,total_cost_mean,total_cost_std,VM_cost_mean,SLA_penalty_mean
1.0_S,223.68061612492767,51.506793058257905,130.18249142857147,93.49812469635617
1.0_M,422.2618088281486,100.91833307679592,325.0102857142851,97.25152311386357
1.0_L,829.6375160677037,262.9147739961055,735.5057371428554,94.13177892484809
1.25_S,320.7522319539614,83.68797504436355,277.1934171428568,43.558814811104604
1.25_M,565.5345590523291,213.00297250984488,507.5565714285697,57.977987623759354
1.25_L,989.7931029875193,458.0422279619483,911.0475034482773,78.74559953924201
1.5_S,270.93160970728775,67.20254154497961,230.79122285714288,40.14038685014479
1.5_M,505.44194025294416,222.45413361964816,448.6970514285709,56.744888824373334
1.5_L,886.8745574447263,380.25899027667305,814.9788903225792,71.89566712214685
1.75_S,241.09170273900432,51.42692415793141,198.93970285714295,42.15199988186146
1.75_M,491.9679847454616,229.48092301249838,433.27396571428545,58.69401903117609
1.75_L,828.0562281807898,359.7427348045594,757.9568457142848,70.09938246650484
2.0_S,225.69803794299355,50.88883371785702,184.83666285714284,40.86137508585067
2.0_M,427.15910913284074,213.71258256154482,365.2109714285713,61.94813770426946
2.0_L,780.7736277211709,408.14111318695007,706.9477485714289,73.825879149742
2.25_S,201.53984376798422,50.564875024348794,160.42368000000002,41.11616376798419
2.25_M,374.9579851761972,190.21150204569847,312.82459428571394,62.13339089048323
2.25_L,678.938164592429,396.79490878638137,602.7451428571436,76.1930217352855
