Scenario,total_cost_mean,total_cost_std,VM_cost_mean,SLA_penalty_mean
1.0_S,158.27598865551664,14.454682812225105,71.30688000000004,86.96910865551662
1.0_M,308.9325120030792,75.88302744602,186.15167999999989,122.78083200307933
1.0_L,524.8311328161183,163.14821184384905,366.53741714285593,158.29371567326228
1.25_S,143.1174209579181,15.725368019554791,65.09997714285717,78.01744381506093
1.25_M,272.76930862235207,60.65344759130546,162.1137371428571,110.65557147949501
1.25_L,496.6305190223323,155.02440001955182,346.4921599999989,150.1383590223333
1.5_S,144.1299997623359,18.973111647821913,68.30354285714287,75.82645690519303
1.5_M,276.0905463238967,60.63450419642605,166.36470857142857,109.72583775246821
1.5_L,511.6912314114995,161.84718759917098,359.5125942857131,152.1786371257863
1.75_S,137.35741927577405,14.101230348634198,67.56068571428574,69.79673356148828
1.75_M,263.12278500027645,57.60996772025079,159.9440457142857,103.1787392859908
1.75_L,502.66793286123874,155.64341890656118,356.08585142857027,146.58208143266847
2.0_S,129.75422178870463,12.724312698006035,65.28000000000003,64.47422178870461
2.0_M,251.83404344164416,52.00503471222579,153.73696,98.09708344164413
2.0_L,497.65342630168306,158.51919255349802,356.6090057142847,141.04442058739832
2.25_S,126.1758497172043,13.018075654323015,65.31392000000002,60.86192971720427
2.25_M,238.3469617221924,48.25901682290369,146.74239999999998,91.60456172219236
2.25_L,475.4584722724967,139.98921182997074,341.9749485714276,133.48352370106906
